source_database	source_version	evidence_role	namespace	raw_identifier	mapping_query_id	isoform_specific	occurrence_count	all_uniprot_targets	reviewed_human_targets	resolved_accession	resolution_status	resolution_reason
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000139656	ENSG00000139656	false	1				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000142396	ENSG00000142396	false	1	A0A0U1RQC6;A0A0U1RQL9;A0A0U1RQN3;A0A0U1RQS5;A0A0U1RQV1;A0ACI8SQ87			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000143933	ENSG00000143933	false	14	A0A590UJC0;A0A590UJE2;A0A590UJI2;A0ACI8T3F6;A0ACI8UEE6;A0ACI8UEE9;E7EMB3;F8WBR5;P0DP23;P0DP24;P0DP25;Q96HY3	P0DP23;P0DP24;P0DP25		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000147996	ENSG00000147996	false	1	A0A0A6YYH9;A0ACI8PBY2;A0ACI8QGS7;A0ACI8RIF8;A0ACI8RT22;A0ACI8TXP7;A0ACI8TXP9;A0ACI8TXU7;A0ACI8UXL9;A0ACI8UXS3;E7EUZ7;F2Z3P0;F6QX95;H0Y857;Q5JTY2;Q5JTY5;Q5RIA9;Q5RIB0;Q5RIB3;Q5RIB5	Q5JTY5;Q5RIA9		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000152133	ENSG00000152133	false	4	A0A6I8PRS5;A0A6Q8JGY2;A0ACI8VFP1			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000158483	ENSG00000158483	false	21				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000160014	ENSG00000160014	false	14	A0A590UJD7;A0ACI8PYG7;A0ACI8QG22;A0ACI8QTD4;A0ACI8R1I5;A0ACI8UTX3;M0QZ52;P0DP23;P0DP24;P0DP25;Q96HY3	P0DP23;P0DP24;P0DP25		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000160818	ENSG00000160818	false	2	A0AA34QVU8;E9PPY4;F2Z3C6			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000161847	ENSG00000161847	false	1	A0A087WZ13;A0ACI8SI95;A0ACI8SI98;A0ACI8SIB2;A0ACI8SIC7;A0ACI8SID6;A0ACI8SID7;A0ACI8SID8;A0ACI8SIF3;A0ACI8SJ44;A0ACI8SJ48;K7EKR9			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000161981	ENSG00000161981	false	12	A0AA34QW04;B8ZZ06;H7BYR9;Q4TT61			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000163098	ENSG00000163098	false	2				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000164871	ENSG00000164871	false	2	A0A0A0MRG4;A0A0B4J218;H0YF39;Q08648;Q6PDA7	Q08648;Q6PDA7		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000167608	ENSG00000167608	false	2	A0A087WT65;A0A087WVI4;A0A087WXY6;A0ACI8Q3T4;A0ACI8Q3T5;A0ACI8Q3V3;A0ACI8Q5P7;A0ACI8Q8R3;A0ACI8QLV6;A0ACI8QTV6;A0ACI8RRV0;A0ACI8RZF0;A0ACI8S1V2;A0ACI8S5H8;A0ACI8TDR0;A0ACI8TDV1;A0ACI8TE22;A0ACI8UXZ4;A0ACI8V0F5;C9JFU4			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000173369	ENSG00000173369	false	1	A0A0A0MSV6;A0A8Q3SI33;A0A8Q3SI50;A0A8Q3SI72;A0A8Q3WKR5;A0A8Q3WLT6;A0A8Q3WM25;A0ACI8RY72;D6R934;D6RGJ1			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000173678	ENSG00000173678	false	4	A6NHP3;Q495Y8	A6NHP3;Q495Y8		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000174370	ENSG00000174370	false	6				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000174428	ENSG00000174428	false	1	A0A087WW90;A0A494C1N8;A0ACI8QA39;A0ACI8QA77;A0ACI8QEG5;A0ACI8R289;A0ACI8RAB3;A0ACI8RK28;A0ACI8RRA5;A0ACI8S8K4;A0ACI8SBK4;A0ACI8V0H6;A0ACI8V361;A0ACI8V379;A0ACI8V3E3;A0ACI8V3V3;A0ACI8V5D1;A0ACI8V5D9;A0ACI8V5E6;A0ACI8V5I6;Q6EKJ0;Q86UP8	Q6EKJ0;Q86UP8		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000174899	ENSG00000174899	false	1				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000177125	ENSG00000177125	false	5	A0A0C4DFQ2;A0A8Q3WKM1			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000178928	ENSG00000178928	false	18	A0A8V8TM49;A0A8V8TMK4;F6S1Y5			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000181013	ENSG00000181013	false	2				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000182077	ENSG00000182077	false	1				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000182230	ENSG00000182230	false	5				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000182257	ENSG00000182257	false	17				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000183729	ENSG00000183729	false	1				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000184258	ENSG00000184258	false	5				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000185594	ENSG00000185594	false	14				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000185614	ENSG00000185614	false	6	A0A499FIG1;A0ACI8QYL8			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000185689	ENSG00000185689	false	1				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000185761	ENSG00000185761	false	3	A0A087WVY8;A0A087WZI4;A0A087X1N9;A0ACI8V9P3;F6T5K7;K7ELV0;X6R4H8			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000186184	ENSG00000186184	false	1	A0A087WTY1;A0A087X0U2;A0A0D9SFV6;A0A0R4J2F3;A0A1B0GUZ5;A0A8I5KX40;A0A8I5QL02;P0DPB5;P0DPB6	P0DPB5;P0DPB6		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000186493	ENSG00000186493	false	1				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000187595	ENSG00000187595	false	10	A0A3B3IS60;A0A3B3ITE2;A0A8I5KWL9;A0ACI8T051;C9J6X6			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000188100	ENSG00000188100	false	18	B3EWG3;B3EWG5;B3EWG6	B3EWG3;B3EWG5;B3EWG6		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000189090	ENSG00000189090	false	18	B3EWG3;B3EWG5;B3EWG6	B3EWG3;B3EWG5;B3EWG6		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000196312	ENSG00000196312	false	1				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000196459	ENSG00000196459	false	19	A0ACI8TZJ0;E5RFG0;F5H785;P0DI81;P0DI82	P0DI81;P0DI82		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000197364	ENSG00000197364	false	3				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000197536	ENSG00000197536	false	2				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000197568	ENSG00000197568	false	3				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000198054	ENSG00000198054	false	1				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000198668	ENSG00000198668	false	14	A0ACI8VSS0;G3V226;G3V361;G3V479;P0DP23;P0DP24;P0DP25;Q96HY3	P0DP23;P0DP24;P0DP25		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000203812	ENSG00000203812	false	1				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000204176	ENSG00000204176	false	5	A0ACI8R4G5;A0ACI8S315;D6RF99;H3BLX3;Q9BQS2;X6R8R1	Q9BQS2;X6R8R1		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000204183	ENSG00000204183	false	1				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000204388	ENSG00000204388	false	1	P0DMV8;P0DMV9	P0DMV8;P0DMV9		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000204389	ENSG00000204389	false	1	P0DMV8;P0DMV9;V9GZ37	P0DMV8;P0DMV9		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000204918	ENSG00000204918	false	91	P86478;P86479;P86480;P86481;P86496	P86478;P86479;P86480;P86481;P86496		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000204919	ENSG00000204919	false	91	P86478;P86479;P86480;P86481;P86496	P86478;P86479;P86480;P86481;P86496		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000205238	ENSG00000205238	false	4	A6NHP3;Q495Y8	A6NHP3;Q495Y8		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000212643	ENSG00000212643	false	4				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000212724	ENSG00000212724	false	89	P0C7H8;Q9BYR9	P0C7H8;Q9BYR9		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000213029	ENSG00000213029	false	2				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000213417	ENSG00000213417	false	89	P0C7H8;Q9BYR9	P0C7H8;Q9BYR9		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000214215	ENSG00000214215	false	3				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000215269	ENSG00000215269	false	4	O76087;P0CL80;P0CL81;P0CL82	O76087;P0CL80;P0CL81;P0CL82		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000215271	ENSG00000215271	false	102				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000215790	ENSG00000215790	false	3				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000221972	ENSG00000221972	false	20				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000221995	ENSG00000221995	false	1				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000222047	ENSG00000222047	false	62				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000224440	ENSG00000224440	false	1	A0A1B0GTR3;P0DPH9	A0A1B0GTR3;P0DPH9		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000227151	ENSG00000227151	false	91	P86478;P86479;P86480;P86481;P86496	P86478;P86479;P86480;P86481;P86496		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000228927	ENSG00000228927	false	2	A0A1W2PPS3;F2Z2I4;P0CV98;P0CW01	P0CV98;P0CW01		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000229665	ENSG00000229665	false	91	P86478;P86479;P86480;P86481;P86496	P86478;P86479;P86480;P86481;P86496		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000230657	ENSG00000230657	false	3	A0ACI8QPL9;A0ACI8QW46;E7EXA8;E9PAL0			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000231887	ENSG00000231887	false	8	A0A087WV42;A0A087WYF5;A0A087WYT0;A0ABJ7H8B7			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000234278	ENSG00000234278	false	91	P86478;P86479;P86480;P86481;P86496	P86478;P86479;P86480;P86481;P86496		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000235699	ENSG00000235699	false	1	A0A1B0GTR3;P0DPH9	A0A1B0GTR3;P0DPH9		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000236362	ENSG00000236362	false	4	O76087;P0CL80;P0CL81;P0CL82	O76087;P0CL80;P0CL81;P0CL82		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000236424	ENSG00000236424	false	2	F2Z2I4;P0CV98;P0CW01	P0CV98;P0CW01		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000243440	ENSG00000243440	false	1				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000248405	ENSG00000248405	false	4	B1AHC3;B1AHC4;H0Y9T8			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000250486	ENSG00000250486	false	1				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000251655	ENSG00000251655	false	15	A0A0D9SET1;A0A4W8X8U3;G3V1R1			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000254827	ENSG00000254827	false	5				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000255251	ENSG00000255251	false	1	E9PI22;P0DMB1	E9PI22;P0DMB1		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000255378	ENSG00000255378	false	1	E9PI22;P0DMB1	E9PI22;P0DMB1		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000256060	ENSG00000256060	false	19	P0DI81;P0DI82	P0DI81;P0DI82		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000256671	ENSG00000256671	false	10	A0A0J9YXC7;P0CW19;P0CW20	P0CW19;P0CW20		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000256977	ENSG00000256977	false	10	A0A0J9YXC7;A0A0J9YYC1;P0CW19;P0CW20	P0CW19;P0CW20		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000264343	ENSG00000264343	false	223	A0A8I5KR58;A0A8I5KUH1;A0ACI8Q4Q4;A0ACI8S9P7;P0DPK4;Q7Z3S9	P0DPK4;Q7Z3S9		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000270136	ENSG00000270136	false	11	R4GMM1;R4GMY4;R4GNA1			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000272196	ENSG00000272196	false	1				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000273590	ENSG00000273590	false	3				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000274267	ENSG00000274267	false	2				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000274276	ENSG00000274276	false	3				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000274611	ENSG00000274611	false	2	Q6IPX1;Q8IZP1	Q6IPX1;Q8IZP1		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000275895	ENSG00000275895	false	14				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000275993	ENSG00000275993	false	6				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000276076	ENSG00000276076	false	8				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000276234	ENSG00000276234	false	11	A0A024R0Y4;A0A087WTV5;A0A087WU71;A0A087WWR4;A0A087WYK3;A0A087WZS1;A0A087X2C8;A0ACI8PUJ6;A0ACI8RCW7;A0ACI8TUX9			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000276430	ENSG00000276430	false	18	B3EWG3;B3EWG5;B3EWG6	B3EWG3;B3EWG5;B3EWG6		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000277758	ENSG00000277758	false	5	A0A096LNH4;A0ACI8RUR1;A0ACI8S4A1;Q9BQS2;X6R8R1	Q9BQS2;X6R8R1		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000278272	ENSG00000278272	false	2				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000278299	ENSG00000278299	false	2	Q6IPX1;Q8IZP1	Q6IPX1;Q8IZP1		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000278845	ENSG00000278845	false	4	A0A087WU62;A0A087X2D5;A0ACI8PG27;A0ACI8QN96;A0ACI8R648;A0ACI8RX99;A0ACI8T7I1			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000279968	ENSG00000279968	false	5				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000280071	ENSG00000280071	false	1				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000282034	ENSG00000282034	false	9	A0A0C4DFX4;A0A994J4T5			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000283374	ENSG00000283374	false	9				quarantine	unmapped_in_pinned_uniprot_release
IntAct	2026-01-09	negative_evidence	UniProtKB_AC-ID	O00506-2	O00506	true	2	O00506	O00506		quarantine	isoform_specific_source_not_folded_to_canonical
IntAct	2026-01-09	negative_evidence	UniProtKB_AC-ID	O14512-2	O14512	true	1				quarantine	isoform_specific_source_not_folded_to_canonical
IntAct	2026-01-09	negative_evidence	UniProtKB_AC-ID	O15156-2	O15156	true	3				quarantine	isoform_specific_source_not_folded_to_canonical
IntAct	2026-01-09	negative_evidence	UniProtKB_AC-ID	O15350-3	O15350	true	3	O15350	O15350		quarantine	isoform_specific_source_not_folded_to_canonical
IntAct	2026-01-09	negative_evidence	UniProtKB_AC-ID	O15409-6	O15409	true	3				quarantine	isoform_specific_source_not_folded_to_canonical
IntAct	2026-01-09	negative_evidence	UniProtKB_AC-ID	O15519-1	O15519	true	1				quarantine	isoform_specific_source_not_folded_to_canonical
IntAct	2026-01-09	negative_evidence	UniProtKB_AC-ID	O43281-2	O43281	true	1				quarantine	isoform_specific_source_not_folded_to_canonical
IntAct	2026-01-09	negative_evidence	UniProtKB_AC-ID	O60237-2	O60237	true	1				quarantine	isoform_specific_source_not_folded_to_canonical
IntAct	2026-01-09	negative_evidence	UniProtKB_AC-ID	O75112-5	O75112	true	1				quarantine	isoform_specific_source_not_folded_to_canonical
IntAct	2026-01-09	negative_evidence	UniProtKB_AC-ID	O75367-2	O75367	true	1				quarantine	isoform_specific_source_not_folded_to_canonical
IntAct	2026-01-09	negative_evidence	UniProtKB_AC-ID	O75410-7	O75410	true	1	O75410	O75410		quarantine	isoform_specific_source_not_folded_to_canonical
IntAct	2026-01-09	negative_evidence	UniProtKB_AC-ID	O75478-2	O75478	true	1	O75478	O75478		quarantine	isoform_specific_source_not_folded_to_canonical
IntAct	2026-01-09	negative_evidence	UniProtKB_AC-ID	O75952-1	O75952	true	2				quarantine	isoform_specific_source_not_folded_to_canonical
