pair_id,uniprot_a,uniprot_b,label,evidence_class,complex_group_id,pair_status,exclusion_reason
HUMAN_A0A087WUL8_P0CG20,A0A087WUL8,P0CG20,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P0DTL6,A0A087WUL8,P0DTL6,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P14222,A0A087WUL8,P14222,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P15151,A0A087WUL8,P15151,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P16144,A0A087WUL8,P16144,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P17482,A0A087WUL8,P17482,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P18075,A0A087WUL8,P18075,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P18084,A0A087WUL8,P18084,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P21549,A0A087WUL8,P21549,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P21918,A0A087WUL8,P21918,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P22301,A0A087WUL8,P22301,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P25786,A0A087WUL8,P25786,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P26371,A0A087WUL8,P26371,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P27658,A0A087WUL8,P27658,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P29972,A0A087WUL8,P29972,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P30049,A0A087WUL8,P30049,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P31273,A0A087WUL8,P31273,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P32242,A0A087WUL8,P32242,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P37235,A0A087WUL8,P37235,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P43220,A0A087WUL8,P43220,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P48645,A0A087WUL8,P48645,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P49638,A0A087WUL8,P49638,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P49639,A0A087WUL8,P49639,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P49901,A0A087WUL8,P49901,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P50539,A0A087WUL8,P50539,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P50895,A0A087WUL8,P50895,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P52824,A0A087WUL8,P52824,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P59990,A0A087WUL8,P59990,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P59991,A0A087WUL8,P59991,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P60014,A0A087WUL8,P60014,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P60328,A0A087WUL8,P60328,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P60329,A0A087WUL8,P60329,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P60331,A0A087WUL8,P60331,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P60370,A0A087WUL8,P60370,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P60410,A0A087WUL8,P60410,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P60411,A0A087WUL8,P60411,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P69905,A0A087WUL8,P69905,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P78385,A0A087WUL8,P78385,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q02930,A0A087WUL8,Q02930,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q03014,A0A087WUL8,Q03014,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q04900,A0A087WUL8,Q04900,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q08117,A0A087WUL8,Q08117,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q0VDD7,A0A087WUL8,Q0VDD7,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q12815,A0A087WUL8,Q12815,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q13214,A0A087WUL8,Q13214,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q13308,A0A087WUL8,Q13308,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q13330,A0A087WUL8,Q13330,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q14511,A0A087WUL8,Q14511,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q14773,A0A087WUL8,Q14773,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q14995,A0A087WUL8,Q14995,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q14CX5,A0A087WUL8,Q14CX5,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q15040,A0A087WUL8,Q15040,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q15077,A0A087WUL8,Q15077,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q15973,A0A087WUL8,Q15973,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q2WGJ6,A0A087WUL8,Q2WGJ6,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q3LI77,A0A087WUL8,Q3LI77,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q3SY46,A0A087WUL8,Q3SY46,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q494U1,A0A087WUL8,Q494U1,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q499Z4,A0A087WUL8,Q499Z4,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q49AN0,A0A087WUL8,Q49AN0,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q52LG2,A0A087WUL8,Q52LG2,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q5D0E6,A0A087WUL8,Q5D0E6,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q5T5A8,A0A087WUL8,Q5T5A8,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q5T5B0,A0A087WUL8,Q5T5B0,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q5T619,A0A087WUL8,Q5T619,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q5T749,A0A087WUL8,Q5T749,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q5T752,A0A087WUL8,Q5T752,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q5T753,A0A087WUL8,Q5T753,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q5T754,A0A087WUL8,Q5T754,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q5T7P2,A0A087WUL8,Q5T7P2,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q5T7P3,A0A087WUL8,Q5T7P3,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q5TA76,A0A087WUL8,Q5TA76,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q5TA78,A0A087WUL8,Q5TA78,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q5TA81,A0A087WUL8,Q5TA81,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q5TA82,A0A087WUL8,Q5TA82,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q5TCM9,A0A087WUL8,Q5TCM9,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q63HR2,A0A087WUL8,Q63HR2,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q64LD2,A0A087WUL8,Q64LD2,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q6EMK4,A0A087WUL8,Q6EMK4,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q6IB77,A0A087WUL8,Q6IB77,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q6L8G4,A0A087WUL8,Q6L8G4,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q6L8G9,A0A087WUL8,Q6L8G9,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q6L8H2,A0A087WUL8,Q6L8H2,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q6PEX3,A0A087WUL8,Q6PEX3,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q6PJG9,A0A087WUL8,Q6PJG9,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q6UY14,A0A087WUL8,Q6UY14,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q6ZNA4,A0A087WUL8,Q6ZNA4,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q6ZNH5,A0A087WUL8,Q6ZNH5,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q7Z3C6,A0A087WUL8,Q7Z3C6,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q86TG1,A0A087WUL8,Q86TG1,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q86UN2,A0A087WUL8,Q86UN2,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q86VE0,A0A087WUL8,Q86VE0,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q86W54,A0A087WUL8,Q86W54,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q86WX3,A0A087WUL8,Q86WX3,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q86YD7,A0A087WUL8,Q86YD7,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q8IUH8,A0A087WUL8,Q8IUH8,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q8IWZ5,A0A087WUL8,Q8IWZ5,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q8IXW0,A0A087WUL8,Q8IXW0,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q8IYI8,A0A087WUL8,Q8IYI8,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q8IZ83,A0A087WUL8,Q8IZ83,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q8N370,A0A087WUL8,Q8N370,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q8N393,A0A087WUL8,Q8N393,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q8N5G2,A0A087WUL8,Q8N5G2,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q8N6W0,A0A087WUL8,Q8N6W0,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q8NCG7,A0A087WUL8,Q8NCG7,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q8NE01,A0A087WUL8,Q8NE01,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q8NEC5,A0A087WUL8,Q8NEC5,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q8NEG0,A0A087WUL8,Q8NEG0,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q8NEW7,A0A087WUL8,Q8NEW7,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q8TAU3,A0A087WUL8,Q8TAU3,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q8TBB1,A0A087WUL8,Q8TBB1,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q8TBN0,A0A087WUL8,Q8TBN0,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q8TC90,A0A087WUL8,Q8TC90,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q8TCT0,A0A087WUL8,Q8TCT0,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q8WTX9,A0A087WUL8,Q8WTX9,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q8WUK0,A0A087WUL8,Q8WUK0,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q8WV24,A0A087WUL8,Q8WV24,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q8WVR3,A0A087WUL8,Q8WVR3,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q92608,A0A087WUL8,Q92608,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q92625,A0A087WUL8,Q92625,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q92692,A0A087WUL8,Q92692,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q92824,A0A087WUL8,Q92824,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q92911,A0A087WUL8,Q92911,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q969U6,A0A087WUL8,Q969U6,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q96EG3,A0A087WUL8,Q96EG3,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q96IQ9,A0A087WUL8,Q96IQ9,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q96JP2,A0A087WUL8,Q96JP2,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q96KP6,A0A087WUL8,Q96KP6,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q96LJ7,A0A087WUL8,Q96LJ7,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q96MM6,A0A087WUL8,Q96MM6,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q96S52,A0A087WUL8,Q96S52,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q96SI1,A0A087WUL8,Q96SI1,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q96SQ5,A0A087WUL8,Q96SQ5,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q99469,A0A087WUL8,Q99469,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q99571,A0A087WUL8,Q99571,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q99572,A0A087WUL8,Q99572,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9BRU9,A0A087WUL8,Q9BRU9,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9BT49,A0A087WUL8,Q9BT49,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9BW11,A0A087WUL8,Q9BW11,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9BWG6,A0A087WUL8,Q9BWG6,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9BX59,A0A087WUL8,Q9BX59,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9BXU8,A0A087WUL8,Q9BXU8,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9BYE3,A0A087WUL8,Q9BYE3,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9BYQ0,A0A087WUL8,Q9BYQ0,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9BYQ3,A0A087WUL8,Q9BYQ3,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9BYQ4,A0A087WUL8,Q9BYQ4,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9BYQ6,A0A087WUL8,Q9BYQ6,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9BYR2,A0A087WUL8,Q9BYR2,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9BYR3,A0A087WUL8,Q9BYR3,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9BYR5,A0A087WUL8,Q9BYR5,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9C086,A0A087WUL8,Q9C086,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9C0C4,A0A087WUL8,Q9C0C4,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9GZV7,A0A087WUL8,Q9GZV7,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9H2A7,A0A087WUL8,Q9H2A7,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9H2X0,A0A087WUL8,Q9H2X0,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9H4G1,A0A087WUL8,Q9H4G1,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9H9D4,A0A087WUL8,Q9H9D4,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9HB63,A0A087WUL8,Q9HB63,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9HCN3,A0A087WUL8,Q9HCN3,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9NP91,A0A087WUL8,Q9NP91,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9NPA0,A0A087WUL8,Q9NPA0,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9NQ50,A0A087WUL8,Q9NQ50,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9NQL9,A0A087WUL8,Q9NQL9,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9NQS3,A0A087WUL8,Q9NQS3,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9NQX5,A0A087WUL8,Q9NQX5,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9NSA3,A0A087WUL8,Q9NSA3,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9NUL5,A0A087WUL8,Q9NUL5,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9NV56,A0A087WUL8,Q9NV56,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9NWS9,A0A087WUL8,Q9NWS9,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9NX63,A0A087WUL8,Q9NX63,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9P0T4,A0A087WUL8,Q9P0T4,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9P121,A0A087WUL8,Q9P121,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9P2F9,A0A087WUL8,Q9P2F9,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9UBK9,A0A087WUL8,Q9UBK9,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9UBR2,A0A087WUL8,Q9UBR2,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9UHI7,A0A087WUL8,Q9UHI7,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9UIK5,A0A087WUL8,Q9UIK5,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9UK33,A0A087WUL8,Q9UK33,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9UKJ5,A0A087WUL8,Q9UKJ5,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9ULS6,A0A087WUL8,Q9ULS6,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9ULW2,A0A087WUL8,Q9ULW2,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9UQ90,A0A087WUL8,Q9UQ90,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9Y223,A0A087WUL8,Q9Y223,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9Y272,A0A087WUL8,Q9Y272,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9Y2K5,A0A087WUL8,Q9Y2K5,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9Y2V2,A0A087WUL8,Q9Y2V2,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9Y3S2,A0A087WUL8,Q9Y3S2,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9Y4C2,A0A087WUL8,Q9Y4C2,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_Q9Y5Y7,A0A087WUL8,Q9Y5Y7,1,direct_positive,,eligible,
HUMAN_A0A087WWS6_Q9UHD9,A0A087WWS6,Q9UHD9,1,direct_positive,,eligible,
HUMAN_A0A087X1G2_O95833,A0A087X1G2,O95833,1,direct_positive,,eligible,
HUMAN_A0A087X1G2_Q9UGI0,A0A087X1G2,Q9UGI0,1,direct_positive,,eligible,
HUMAN_A0A096LP49_A1L4K1,A0A096LP49,A1L4K1,1,direct_positive,,eligible,
HUMAN_A0A096LP49_A6NEM1,A0A096LP49,A6NEM1,1,direct_positive,,eligible,
HUMAN_A0A096LP49_A8MQ03,A0A096LP49,A8MQ03,1,direct_positive,,eligible,
HUMAN_A0A096LP49_O15084,A0A096LP49,O15084,1,direct_positive,,eligible,
HUMAN_A0A096LP49_O43281,A0A096LP49,O43281,1,direct_positive,,eligible,
HUMAN_A0A096LP49_O60504,A0A096LP49,O60504,1,direct_positive,,eligible,
HUMAN_A0A096LP49_O75031,A0A096LP49,O75031,1,direct_positive,,eligible,
HUMAN_A0A096LP49_O75525,A0A096LP49,O75525,1,direct_positive,,eligible,
HUMAN_A0A096LP49_O94915,A0A096LP49,O94915,1,direct_positive,,eligible,
HUMAN_A0A096LP49_O95273,A0A096LP49,O95273,1,direct_positive,,eligible,
HUMAN_A0A096LP49_P08670,A0A096LP49,P08670,1,direct_positive,,eligible,
HUMAN_A0A096LP49_P14373,A0A096LP49,P14373,1,direct_positive,,eligible,
HUMAN_A0A096LP49_P19012,A0A096LP49,P19012,1,direct_positive,,eligible,
HUMAN_A0A096LP49_P23508,A0A096LP49,P23508,1,direct_positive,,eligible,
HUMAN_A0A096LP49_P31321,A0A096LP49,P31321,1,direct_positive,,eligible,
HUMAN_A0A096LP49_P35609,A0A096LP49,P35609,1,direct_positive,,eligible,
HUMAN_A0A096LP49_P43360,A0A096LP49,P43360,1,direct_positive,,eligible,
HUMAN_A0A096LP49_P51114,A0A096LP49,P51114,1,direct_positive,,eligible,
HUMAN_A0A096LP49_P61978,A0A096LP49,P61978,1,direct_positive,,eligible,
HUMAN_A0A096LP49_P63010,A0A096LP49,P63010,1,direct_positive,,eligible,
HUMAN_A0A096LP49_P67870,A0A096LP49,P67870,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q01850,A0A096LP49,Q01850,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q05D60,A0A096LP49,Q05D60,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q08379,A0A096LP49,Q08379,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q12933,A0A096LP49,Q12933,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q13064,A0A096LP49,Q13064,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q13077,A0A096LP49,Q13077,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q14532,A0A096LP49,Q14532,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q15323,A0A096LP49,Q15323,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q15654,A0A096LP49,Q15654,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q15742,A0A096LP49,Q15742,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q1MX18,A0A096LP49,Q1MX18,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q3LI64,A0A096LP49,Q3LI64,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q4V328,A0A096LP49,Q4V328,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q4VC12,A0A096LP49,Q4VC12,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q58EX7,A0A096LP49,Q58EX7,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q5JR59,A0A096LP49,Q5JR59,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q68D86,A0A096LP49,Q68D86,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q6NT76,A0A096LP49,Q6NT76,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q6NUQ1,A0A096LP49,Q6NUQ1,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q7Z3Y8,A0A096LP49,Q7Z3Y8,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q86X02,A0A096LP49,Q86X02,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q8N1B4,A0A096LP49,Q8N1B4,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q8N4Y2,A0A096LP49,Q8N4Y2,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q8N6Y0,A0A096LP49,Q8N6Y0,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q8NA61,A0A096LP49,Q8NA61,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q8ND90,A0A096LP49,Q8ND90,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q8NHQ1,A0A096LP49,Q8NHQ1,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q8TD16,A0A096LP49,Q8TD16,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q8WXK1,A0A096LP49,Q8WXK1,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q92841,A0A096LP49,Q92841,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q96ED9,A0A096LP49,Q96ED9,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q96JN2,A0A096LP49,Q96JN2,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q96MT8,A0A096LP49,Q96MT8,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q99750,A0A096LP49,Q99750,1,direct_positive,,eligible,
HUMAN_A0A096LP49_Q9BRK4,A0A096LP49,Q9BRK4,1,direct_positive,,eligible,
